LIEU_IDENTIFIANT,LIEU_LIBELLE,LIEU_MNEMONIQUE,LATITUDE,LONGITUDE,DCSMM_SOUS_REGION,QUADRIGE_ZONEMARINE,DCE_MASSE_EAU,PROGRAMME,TAXON_PRESENT
38095007,"110-P-008 - 17B - Etang de berre 2",110-P-008,43.4374863135,5.1847339067,,"110 - Etangs de Berre - Vaine - Bolmon","FRDT15A - Etang de Berre Grand Etang",RINBIO,
36080004,"094-P-004 - 01B - Port Vendres",094-P-004,42.5219470186,3.1205436229,"DCSMM sous-région Méditerranée-Occidentale","094 - Côte catalane","FRDC01 - Frontière espagnole - Racou Plage",RINBIO,
37088016,"102-P-019 - 08B - Sete 1",102-P-019,43.3458026027,3.6372051806,"DCSMM sous-région Méditerranée-Occidentale","102 - Côte languedocienne",,RINBIO,
36081017,"095-P-017 - 07F - Aude",095-P-017,43.2037957668,3.2503670178,"DCSMM sous-région Méditerranée-Occidentale","095 - Littoral de l'embouchure du Tech au Grau d'Agde","FRDC02B - Embouchure de l'Aude - Cap d'Agde","RINBIO,ROCCHSED",
60004741,"110-P-120 - 17C - Etang de Berre Sud",110-P-120,43.4150995775498,5.06260008046669,,"110 - Etangs de Berre - Vaine - Bolmon","FRDT15A - Etang de Berre Grand Etang",RINBIO,
38094015,"109-P-013 - 16D - Port de bouc",109-P-013,43.3799827994,4.9490635979,"DCSMM sous-région Méditerranée-Occidentale","109 - Golfe de Fos","FRDC04 - Golfe de Fos",RINBIO,
42118006,"122-P-082 - 48C - Revelata",122-P-082,42.5481663239,8.7068208176,"DCSMM sous-région Méditerranée-Occidentale","122 - Corse Ouest","FREC01AB - Pointe Palazzu - Sud Nonza",RINBIO,
43116002,"117-P-024 - 38A - cavu",117-P-024,41.6989879385,9.4076820156,"DCSMM sous-région Méditerranée-Occidentale","117 - Plaine Orientale","FREC02D - Plaine Orientale",RINBIO,
60004935,"122-P-147 - Calvi Rejet STEP",122-P-147,42.57678,8.75763,"DCSMM sous-région Méditerranée-Occidentale","122 - Corse Ouest","FREC01AB - Pointe Palazzu - Sud Nonza",RINBIO,
60002961,"114-P-158 - 29E - Antibes sud",114-P-158,43.5606165761416,7.14415007040836,"DCSMM sous-région Méditerranée-Occidentale","114 - Cannes - Menton","FRDC09A - Cap d'Antibes - Sud port Antibes",RINBIO,
