colonie_id;secteur_nom_en;secteur_nom_fr;colonie_nom_en;colonie_nom_fr;etang;gestion;sousunite_nom_en;sousunite_nom_fr;subreg_id;latitude;longitude
688;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-026 (ilot (cote 9m) au nord ouest de Men ar Vran);2205-05-026 (ilot (cote 9m) au nord ouest de Men ar Vran);2;48.833747;-3.024267
689;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-027 (Men Ar Vran);2205-05-027 (Men Ar Vran);2;48.832492;-3.020126
690;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-028 (Roche auprès de la pointe sud de Raguénès);2205-05-028 (Roche auprès de la pointe sud de Raguénès);2;48.834337;-3.018979
691;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-029 (ile E à l'est de Raguénès);2205-05-029 (ile E à l'est de Raguénès);2;48.834639;-3.013866
692;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-030 (Raguénès);2205-05-030 (Raguénès);2;48.836203;-3.01995
693;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-032 (ile D à la pointe Nord Est de Raguénès);2205-05-032 (ile D à la pointe Nord Est de Raguénès);2;48.835935;-3.015091
694;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-034 (ile C à la pointe Nord Est de Raguénès (nord));2205-05-034 (ile C à la pointe Nord Est de Raguénès (nord));2;48.836679;-3.015782
695;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-036 (ile B la pointe Nord Est de Raguénès);2205-05-036 (ile B la pointe Nord Est de Raguénès);2;48.837341;-3.017093
696;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-037 (ile A à la pointe Sud Est de Biniguet);2205-05-037 (ile A à la pointe Sud Est de Biniguet);2;48.838653;-3.014758
697;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-038 (ilot auprès de la cale de Biniguet);2205-05-038 (ilot auprès de la cale de Biniguet);2;48.841871;-3.014517
698;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-039 (Ile Biniguet);2205-05-039 (Ile Biniguet);2;48.842165;-3.018383
699;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-040 (ilot le plus loin du moulin à marée);2205-05-040 (ilot le plus loin du moulin à marée);2;48.84665;-3.011599
700;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-041 (Ilot le plus proche du moulin à marée);2205-05-041 (Ilot le plus proche du moulin à marée);2;48.847054;-3.011026
